MATLAB index,fpga,bank_index,in_bank_index,x,y
45,0,0,103,-9.999999999999996,34.64101615137754
46,0,0,95,-19.999999999999996,34.64101615137754
47,0,0,88,-24.999999999999996,25.980762113533157
48,0,0,89,-30.0,17.32050807568877
49,0,0,90,-35.0,8.660254037844386
50,0,0,91,-40.0,0.0
51,2,0,119,-35.0,-8.660254037844386
52,2,0,111,-30.0,-17.32050807568877
53,2,0,103,-25.000000000000004,-25.980762113533157
54,2,0,95,-20.000000000000004,-34.64101615137754
55,2,0,88,-10.000000000000004,-34.64101615137754
56,2,0,89,-3.552713678800501e-15,-34.64101615137754
57,2,0,90,9.999999999999996,-34.64101615137754
58,2,0,91,19.999999999999996,-34.64101615137754
59,1,0,119,24.999999999999996,-25.980762113533157
60,1,0,111,30.0,-17.32050807568877
61,1,0,103,35.0,-8.660254037844386
62,1,0,86,50.0,0.0
63,1,0,87,45.0,8.660254037844386
64,1,0,80,40.0,17.32050807568877
65,1,0,81,35.0,25.980762113533157
66,1,0,82,30.000000000000004,34.64101615137754
67,1,0,83,25.000000000000004,43.301270189221924
68,0,0,118,15.000000000000004,43.301270189221924
69,0,0,110,5.0000000000000036,43.301270189221924
70,0,0,102,-4.9999999999999964,43.301270189221924
71,0,0,94,-14.999999999999996,43.301270189221924
72,0,0,86,-24.999999999999996,43.301270189221924
73,0,0,87,-29.999999999999996,34.64101615137754
74,0,0,80,-35.0,25.980762113533157
75,0,0,81,-40.0,17.32050807568877
76,0,0,82,-45.0,8.660254037844386
77,0,0,83,-50.0,0.0
78,2,0,118,-45.0,-8.660254037844386
79,2,0,110,-40.0,-17.32050807568877
80,2,0,102,-35.0,-25.980762113533157
81,2,0,94,-30.000000000000004,-34.64101615137754
82,2,0,86,-25.000000000000004,-43.301270189221924
83,2,0,87,-15.000000000000004,-43.301270189221924
84,2,0,80,-5.0000000000000036,-43.301270189221924
85,2,0,81,4.9999999999999964,-43.301270189221924
86,2,0,82,14.999999999999996,-43.301270189221924
87,2,0,83,24.999999999999996,-43.301270189221924
88,1,0,118,29.999999999999996,-34.64101615137754
89,1,0,110,35.0,-25.980762113533157
90,1,0,102,40.0,-17.32050807568877
91,1,0,94,45.0,-8.660254037844386
92,1,0,77,60.0,0.0
93,1,0,78,55.0,8.660254037844386
94,1,0,79,50.0,17.32050807568877
95,1,0,72,45.0,25.980762113533157
96,1,0,73,40.0,34.64101615137754
97,1,0,74,35.0,43.301270189221924
98,1,0,75,30.000000000000007,51.96152422706631
99,0,0,117,20.000000000000007,51.96152422706631
100,0,0,109,10.000000000000007,51.96152422706631
101,0,0,101,7.105427357601002e-15,51.96152422706631
102,0,0,93,-9.999999999999993,51.96152422706631
103,0,0,85,-19.999999999999993,51.96152422706631
104,0,0,77,-29.999999999999993,51.96152422706631
105,0,0,78,-35.0,43.301270189221924
106,0,0,79,-40.0,34.64101615137754
107,0,0,72,-45.0,25.980762113533157
